course,Link,Introduction,Fee,Duration,Address,Contact,uni_name
Actuarial Science - Bachelor (Hons),http://www.ukm.my/studyukm/actuarial-science-bachelor-of-science-hons/,"Students enrolling in the Actuarial Science Programme will receive a solid background in actuarial science knowledge. The programme offers a variety of courses in mathematics, statistics, computing, insurance, finance and others. The Actuarial Science Programme also offers fundamental syllabus for students to sit for professional exams acknowledged by the professional bodies from overseas such as the Society of Actuaries (USA), the Casualty Actuarial Society (CAS) and the Institute of Actuaries (UK). The programme prepares graduates careers in the areas of actuarial, insurance, finance, risk management, banking and other quantitative areas. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Al-Quran & Al-Sunnah Studies - Bachelor (Hons),http://www.ukm.my/studyukm/al-quran-and-al-sunnah-studies-bachelor-of-islamic-studies-hons/,The programme aims to produce graduates that applying Islamic values in an ever-evolving environment and diverse at the national or international levels.,37800,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Arabic Studies and Islamic Civilization - Bachelor (Hons),http://www.ukm.my/studyukm/arabic-studies-and-islamic-civilization-bachelor-of-islamic-studies-hons/,The programme aims to produce graduates that applying Islamic values in an ever-evolving environment and diverse at the national or international levels.,37800,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Architecture- Bachelor (Hons),http://www.ukm.my/studyukm/architecture-bachelors-of-science-hons/,"The Department of Architecture was established in 2002. The undergraduate program on offer is Bachelor of Architectural Science (LAM Part 1). Bachelor of Architectural Science (Part 1) is a semi-professional degree. It comprises courses such as design studio, history and theory of architecture, environmental science, building structures, building services, architectural communication, building technology and materials. The program is oriented towards the design studio course, which is the core for the programme. ",63100,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Audiology - Bachelor (Hons),http://www.ukm.my/studyukm/audiology-bachelor-of-science-hons/,"Audiologists are professionals who work to evaluate, diagnose and manage a diverse range of conditions related to hearing and balance disorders in paediatric and adult population. UKM has been a pioneer in offering the four-year bachelor degree in audiology in the South East Asia region since 1995. The program is accredited by the Malaysian Accreditation Board and meets international standards required to practice as an audiologist. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Biochemistry - Bachelor (Hons),http://www.ukm.my/studyukm/biochemistry-bachelor-of-science-hons/,"Biochemistry is an area of knowledge and study about biomolecules, reactions and interactions that are involved in biological processes in cells and organisms. Since biochemistry seeks to unravel the complex chemical reactions that occur in a wide variety of life forms, it provides the basis for practical advances in medicine, veterinary medicine, agriculture and biotechnology. This programme emphasises on understanding all these biological processes via molecular approach. The programme is designed in such a way that the students will be able to appreciate the complexity of life at the molecular level. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Bioinformatics - Bachelor (Hons),http://www.ukm.my/studyukm/bioinformatics-bachelor-of-science-hons/,"Bioinformatics is a discipline that integrates the computational sciences and information technology to solve problems in biosciences and biotechnology requiring computational and information science solutions. Bioinformatics enables the development of algorithms or software that allow the analysis and interpretation of big data in molecular biology. The focus of such data analysis is primarily limited to the scope of molecular biology data, specifically, the analysis of sequence and macromolecular structures to gain insights and discoveries in the post genomics era in addition to applied research and development in genetics, vaccinology, enzyme technology and drug discovery that are directed at improving the quality of human health and economic progress. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Biology - Bachelor (Hons),http://www.ukm.my/studyukm/biology-bachelor-of-science-hons/,"Human life depends on natural resources, including other organisms. Human ability to continue and develop civilized society depends on the use and sustainable management of these resources wisely. Biological knowledge provides information about the structure and function of living, mutual interaction between organisms, and between organisms and their environment. As an inheritors of the earth, people need to know and understand the biology, for caring and knowledgeable in the use, management and conservation of biological resources for future generations. Teaching and research of biology in the faculty includes aspects of taxonomy, anatomy, morphology, ecology, biodiversity, plant and animal genetics, of terrestrial and aquatic ecosystems. Exposure to all aspects of basic and applied research aimed to achieve balance between socio-economic development and conservation of biodiversity and the environment. ",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Biomedical Science - Bachelor (Hons),http://www.ukm.my/studyukm/biomedical-science-bachelor-of-science-with-honours/,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor",54300,4,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
Business Administration - Bachelor (Hons),http://www.ukm.my/studyukm/business-administration-bachelor-hons/,"This program is designed to produce students with a firm foundation in management and entrepreneurship. Students not only learning about business but also will be exposed to organizational management, accounting and finance, information technology, leadership, and marketing. After graduating, your job offer will be various and exciting allowing you to become manager, educator, banker, and economist.",37800,3,"Pusat Kembangan PendidikanAras 2, Bangunan WawasanUniversiti Kebangsaan Malaysia43600 UKM Bangi Selangor","https://www.linkedin.com/company/studyukm/
https://wa.me/601156354377
https://t.me/askukm
https://www.ukm.my/portal/",Universiti Kebangsaan Malaysia (UKM)
