uni_name,Faculty,Number of courses
Universiti Kebangsaan Malaysia (UKM),Faculty of Social Sciences and Humanities,6
Universiti Kebangsaan Malaysia (UKM),Faculty of Science and Technology,18
Universiti Kebangsaan Malaysia (UKM),Faculty of Economics and Management,3
Universiti Kebangsaan Malaysia (UKM),Faculty of Pharmacy,1
Universiti Kebangsaan Malaysia (UKM),Faculty of Islamic Studies,5
Universiti Kebangsaan Malaysia (UKM),Faculty of Health Sciences,12
Universiti Kebangsaan Malaysia (UKM),Faculty of Engineering and Built Environment,5
Universiti Kebangsaan Malaysia (UKM),Faculty of Law,1
Universiti Kebangsaan Malaysia (UKM),Faculty of Dentistry,1
Universiti Kebangsaan Malaysia (UKM),Faculty of Education,3
Universiti Kebangsaan Malaysia (UKM),Faculty of Medicine,1
Universiti Kebangsaan Malaysia (UKM),Faculty of Information Science and Technology,4
