course,Link,Introduction,Fee,Duration,Address,Contact
Bachelor of Entrepreneurship (Commerce) with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=102&name=BACHELOR-OF-ENTREPRENEURSHIP-(COMMERCE)-WITH-HONOURS,Merupakan program terulung Fakulti Keusahawanan dan Perniagaan yang diwujudkan bertujuan untuk mengembangkan ilmu keusahawanan dan perniagaan yang boleh memberi manfaat kepada pelajar seterusnya menyumbang kepada masyarakat dan negara khususnya dalam aktiviti yang berkaitan dengan keusahawanan perdagangan,950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Bachelor of Entrepreneurship (Logistics and Distributive Trade) with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=101&name=BACHELOR-OF-ENTREPRENEURSHIP-(LOGISTICS-AND-DISTRIBUTIVE-TRADE)-WITH-HONOURS,Program ini memfokuskan kepada ligostik dan perniagaan pengedaran. Program ini direkabentuk dan dicadangkan penawarannya mempunyai kelainan daripada Pentadbiran Logistik dab Perniagaan oleh IPTA dan IPTS lain di negara ini kerana ia mempunyai 'niche' yang tersendiri. Kaedah pembelajaran menggunakan pendekatan yang holistik iaitu penggunaan kadah pembelajaran yang berasaskan hasil (outcome based learning) dan permasalahan serta pendekatan pembelajaran 'dalam industri' dijangka akan dapat memberi pengalaman sebenar kepada pelajar terhadap sektor tersebut,950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Bachelor of Entrepreneurship (Retailing) with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=64&name=BACHELOR-OF-ENTREPRENEURSHIP-(RETAILING)-WITH-HONOURS,Program pengajian ini akan dapat menyediakan modal insan yang diperlukan dalam industri peruncitan Negara. Program Ijazah Sarjana Muda Keusahawanan (Peruncitan) dengan Kepujian akan memberikan pelajar satu cabang lain yang lebih spesifik dalam bidang keusahawanan. Program ini dijangka dapat melahirkan usahawan baru dalam industri peruncitan.,950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Bachelor of Business Administration (Islamic Banking and Finance) with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=43&name=BACHELOR-OF-BUSINESS-ADMINISTRATION-(ISLAMIC-BANKING-AND-FINANCE)-WITH-HONOURS,"Program yang direkabentuk dan dicadangkan penawarannya mempunyai kelainan daripada Pentadbiran Perniagaan Kewangan oleh IPTA dan IPTS yang lain kerana ia mempunyai ""niche"" yang tersendiri. Kaedah pembelajaran menggunakan pendekatan yang holistik iaitu penggunaan kaedah pembelajaran yang berasaskan hasil (outcome based learning) dan permasalahan serta pendekatan pembelajaran ""dalam industri"" dijangka akan dapat memberi pengalaman sebenar kepada pelajar.",950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Bachelor of Entrepreneurship with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=81&name=BACHELOR-OF-ENTREPRENEURSHIP-WITH-HONOURS,"Program yang direkabentuk bermatlamat untuk melahirkan lebih ramai usahawan siswa yang mempunyai kemahiran dan attribut keusahawanan yang tinggi. Program dilaksanakan dengan kaedah dua (2) tahun pengajian di Universiti, satu (1) tahun sangkutan di lndustri dan satu (1) tahun menjalankan peniagaan sendiri dengan bantuan modal.",950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Bachelor of Accounting with Honours,http://fkp.umk.edu.my/program-details.cfm?ref=521&name=BACHELOR-OF-ACCOUNTING-WITH-HONOURS,"The UMK’s Bachelor of Accounting with Honours is specially designed for students who wish to obtain an accounting degree recognized by MQA and to provide the path to become certified accountants qualified by ACCA/MICPA. 

This is the only programme at public universities in Malaysia that adopts curriculums from ACCA and MICPA professional bodies in their programme's structure in order to make the graduates more marketable and relevant. 

Students will be placed in ACCA/MICPA approved employers while undergoing their one-year apprenticeship courses to ensure that they gain invaluable real-life industry experience.

Students are also equipped with entrepreneurial knowledge that gives them skills to create new job opportunities in the industry.",950 per semester,4 years,"Fakulti Keusahawanan dan Perniagaan, Kampus Kota, Pengkalan Chepa, 16100 Kota Bharu, Kelantan.","Phone: +6097717127

 email: prasiswazah.fkp@umk.edu.my"
Doctor of Veterinary Medicine,http://fpv.umk.edu.my/program-details.cfm?ref=301&name=Doctor-of-Veterinary-Medicine,NA,1462 per semester,5 years,"FACULTY OF VETERINARY MEDICINE, UNIVERSITI MALAYSIA KELANTAN, PENGKALAN CHEPA 16100 KOTA BHARU, KELANTAN","Phone: +609-7717279

 Email: fpv@umk.edu.my"
Bachelor of Entrepreneurship (Tourism) with Honours,http://fhpk.umk.edu.my/program-details.cfm?ref=306&name=BACHELOR-OF-ENTREPRENEURSHIP-(TOURISM)-WITH-HONOUR,"The focus of the programme is to produce graduates with a broad understanding of all aspects of functional tourism management. On the other hand, the students are also able to identify, explore and grab the opportunities in business space and courageous to create opportunities in the industry globally. Emphasis is given to the ability to communicate in a variety of key languages in an effective way and assessing and caring for economic, ecotourism, socio-cultural potentials in entrepreneurial practice and improving professionalism by respecting the attitudes, abilities and beliefs of tourists, also willing to lead goals and policies of the national tourism industry among graduates.",950 per semester,4 years,"Universiti Malaysia Kelantan, City Campus, Pengkalan Chepa","Phone: +609-7717157

 email: fhpk@umk.edu.my"
Bachelor of Entrepreneurship (Hospitality) with Honours,http://fhpk.umk.edu.my/program-details.cfm?ref=305&name=BACHELOR-OF-ENTREPRENEURSHIP-(HOSPITALITY)-WITH-HONOUR,"The program aims to foster entrepreneurship culture among hospitality graduates and produce resilient graduates, willing to work on opportunities, creative, innovative, ethical and open-minded in the business environment, whether in the local or global arena.",950 per semester,4 years,"Universiti Malaysia Kelantan, City Campus, Pengkalan Chepa","Phone: +609-7717157

 email: fhpk@umk.edu.my"
Bachelor of Entrepreneurship (Wellness) with Honours,http://fhpk.umk.edu.my/program-details.cfm?ref=307&name=BACHELOR-OF-ENTREPRENEURSHIP-(WELLNESS)--WITH-HONOUR,"The programme focuses on the objective of producing graduates with a broad understanding in health and wellness areas as well as identifying, exploring and grabbing opportunities and business space and courageous to create opportunities in the industry globally. The program is set up to produce creative graduates who are capable of working professionally, ethically, and acting in harmony in any form of the environment whether in the local arena or globally. Students will be exposed to a booming healthcare industry such as a spa, gymnasium, beauty boutique and food care with emphasizing of healthy lifestyle aspect.",950 per semester,4 years,"Universiti Malaysia Kelantan, City Campus, Pengkalan Chepa","Phone: +609-7717157

 email: fhpk@umk.edu.my"
