uni_name,Faculty,Number of courses
Universiti Malaysia Kelantan (UMK),Faculty of Entrepreneurship and Business,7
Universiti Malaysia Kelantan (UMK),Faculty of Veterinary Medicine,1
Universiti Malaysia Kelantan (UMK),"Faculty of Hospitality,Tourism and Wellness",3
Universiti Malaysia Kelantan (UMK),DEPARTMENT OF DATA SCIENCE,1
Universiti Malaysia Kelantan (UMK),Faculty of Creative Technology and Heritage,2
Universiti Malaysia Kelantan (UMK),Faculty of Architecture and Ekistics,3
Universiti Malaysia Kelantan (UMK),Faculty for Language Studies and Generic Development,2
Universiti Malaysia Kelantan (UMK),Faculty of Agro-Based Industry,4
Universiti Malaysia Kelantan (UMK),Faculty of Earth Sciences,3
Universiti Malaysia Kelantan (UMK),Faculty of Bioengineering and Technology,3
