"","UMS","Link","Introduction","Address","Contact","Duration","Fee"
"1","BACHELOR OF ARTS WITH HONOURS (CREATIVE ARTS)","https://www.ums.edu.my/astif/index.php/en/academic/undergraduate/programs/creative-arts-program","The Creative Arts Program consists of three streams, namely writing, theater and dance. The courses offered are as follows: acting, film, dance, including marketing, arts management, and creative industry management. In addition to offering foundation courses for all streams, students are equipped with basic theoretical and practical knowledge to build students' skills and practical abilities in the creative industry. The program also prepares students for the job market with additional knowledge in the basics of media applications, animation, graphic design, theater studios, artistic designs, and creative entrepreneurship.
Career ProspectsBiographical author, Script Writing, Screenplay, Editorial, Documentary, Lyricist, Drama, Columnist, Manuscript Editor or Sub-editor, Book Reviewer, Newsreader, Newspaper Reporter, Mass Media Reporter, Popular Magazine Reporter, Novelist, Poet, Employee Media Publisher, Advertising Account Executive, Media Marketing Officer, Media Executive, Arts Officer, Art Producer Presentation, Event Manager, Stage Manager, Production Manager, Art Marketing Executive, Creative Entrepreneur, Lecturer and Writing Art Coach, Visual and Performing Arts, Costume Designer, Dance Therapist, Choreographer, Dance coach, Film Producer, Director Performing Arts, Cultural Officers, Actors.
","Akademi Seni dan Teknologi Kreatif
Universiti Malaysia Sabah
Jalan UMS, 88400
Kota Kinabalu
Sabah, Malaysia","6088-320000                        ","-","-"
"2","BACHELOR OF ARTS  WITH HONOURS (MUSIC STUDIES)","https://www.ums.edu.my/astif/index.php/en/academic/undergraduate/programs/music-program","The Music Arts program offers music theory and practical courses that include classical music study modules, popular music, traditional music, contemporary music, and non-popular music. Apart from the focus on performance and composition, the program also offers a variety of music industry studies such as music business and technology, liberal music, and music information technology, including sound synthesis, sampling, and computer programming for music application. Students are trained to analyze and analytically explore issues related to the music industry as well as apply technological knowledge in the production of art.
Career ProspectsMusic Composer, Songwriter, Lyricist, Movie Score, Jingle, Chamber Music Leader, Music Leader, Orchestra, Music Producer, Choir Director, Music Therapist, Music Librarian, Broadcast Technician, Studio Designer, Recording Studio Technician, Digital Audio Editor, Synthesizer Music, Session Musician Vocalist and Backing Singer, Consumer Researcher, Music Business Consultant, Event Manager. ","Akademi Seni dan Teknologi Kreatif
Universiti Malaysia Sabah
Jalan UMS, 88400
Kota Kinabalu
Sabah, Malaysia","6088-320000                        ","-","-"
"3","BACHELOR OF VISUAL ARTS TECHNOLOGY WITH HONOURS","https://www.ums.edu.my/astif/index.php/en/academic/undergraduate/programs/visual-arts-technology-program","The Visual Arts Technology Program is designed to provide a comprehensive theoretical and practical knowledge of the study of visual arts combined with digital media arts through a series of carefully designed courses. Theoretical aspects include the study of media research, appreciation, interpretation, aesthetics, and art criticism. The practical aspect focuses on the exploration of new media and technologies, mastery of materials, and application of techniques appropriate to the studio and fieldwork. Both theoretical and practical aspects are equipped with management elements in producing a generation of students who can meet the demand factors of the industry and provide professional human resources in the field of visual arts that are competitive on the global stage.
Career Prospects
Visual Arts Lecturer, Gallery Curator, Film Director, Guest Artist, Graphic Designer, Show Producer, Entrepreneur, Video Editor, Media Broadcast Researcher, Cinematographer, Painter, Gallery Manager, Art Teacher, Photographer, Copy Writer, Animator, Journalist Print Media. ","Akademi Seni dan Teknologi Kreatif
Universiti Malaysia Sabah
Jalan UMS, 88400
Kota Kinabalu
Sabah, Malaysia","6088-320000                        ","-","-"
"4","BACHELOR OF ECONOMICS WITH HONOURS (FINANCIAL ECONOMICS)","https://www.ums.edu.my/fpep/","Financial Economics Programme aims to nurture innovative, resilient and universally responsible economists to support national aspiration of becoming a developed and high income nation.PEO1: Economists who are knowledgeable and technically competent in the field of financial economics in line with industry requirement locally and globally. PEO2: Economists who are effective in communication, perform well as a team player and demonstrate good leadership qualities in an organisation. PEO3: Economists who are capable to solve problems related to the field of financial economics creatively, innovatively, and ethically using numerical and technical skills, and through sustainable approach. PEO4: Economists who are able to demonstrate entrepreneurship skills and recognise the need of lifelong learning, as well using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"5","BACHELOR OF ECONOMICS WITH HONOURS (PLANNING AND DEVELOPMENT ECONOMICS)","https://www.ums.edu.my/fpep/","Planning and development economics programme (HE05) aims to nurture innovative, resilient and universally responsible
economists (planning & development economists) to support national aspiration of becoming a developed and high income nation.PEO1: Economists who are knowledgeable and technically competent in the field of planning and development economics in line with industry requirement locally and globally. PEO2: Economists who are effective in communication, perform well as a team player and demonstrate good leadership qualities in an organisation. PEO3: Economists who are capable to solve problems related to the field of planning and development economics creatively, innovatively, and ethically using numerical and technical skills, and through sustainable approach. PEO4: Economists who are able to demonstrate entrepreneurship skills and recognise the need of lifelong learning, as wells using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"6","BACHELOR OF ECONOMICS WITH HONOURS (HUMAN RESOURCE ECONOMICS)","https://www.ums.edu.my/fpep/","Human Resource Economics Programme aims to nurture innovative, resilient and universally responsible economists to support national aspiration of becoming a developed and high income nation.PEO1: Economists who are knowledgeable and technically competent in the field of human resource economics in line with industry requirement locally and globally. PEO2: Economists who are effective in communication, perform well as a team player and demonstrate good leadership qualities in an organisation. PEO3: Economists who are capable to solve problems related to the field of human resource economics creatively, innovatively, and ethically using numerical and technical skills, and through sustainable approach. PEO4: Economists who are able to demonstrate entrepreneurship skills and recognise the need of lifelong learning, as wells using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"7","BACHELOR OF ACCOUNTING WITH HONOURS","https://www.ums.edu.my/fpep/","The programme aims is to nurture universally responsible accountants with international standards qualification and global skills in
fulfilling the needs of the profession, nation, and global market. Within few years upon successfully completing this programme, our
graduates are: PEO1: Accounting practitioners who optimize their knowledge and practical skills in the accounting discipline consistent with the
requirements of the global accounting profession; PEO2: Accounting practitioners who uplift and promote values, attitudes and professionalism through social skills and
responsibilities; PEO3: Accounting practitioners who lead and engage innovatively in problem solving tasks across disciplines through effective
collaboration and effective communication; PEO4: Accounting practitioners who dynamically respond to contemporary challenges with managerial and entrepreneurial skills
through technological advancement and continuous professional development. The program will equip students with skills and knowledge required as an accountant, in which students will be exposed to both
technical aspects of accounting and related issues in global business, particularly in the accounting profession. Course concentrations cover financial accounting, management accounting, audit, taxation, accounting information systems, corporate governance and accounting ethics, finance and other related courses. This Bachelor of Accounting with Honours degree is
a recognized accountancy degree under Part I of the First Schedule of the Accountants Act, 1967.","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","8 semester","-"
"8","BACHELOR OF BUSINESS WITH HONOURS (ENTREPRENEURSHIP)","https://www.ums.edu.my/fpep/","This program aims to nurture innovative and universally responsible business executives (who with focused knowledge in entrepreneurship and business) to support the nation’s aspiration in positioning Malaysia as a global business hub. Students will be exposed to both theory and hand- on learning that extend beyond the classroom environment with a barring to produce a holistic business graduate that possess high entrepreneurial skills.PEO1: Knowledgeable and technical competence in addressing contemporary business challenges.
PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization.
PEO3: Capable to solve problems related to the field of entrepreneurship, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. 
PEO4: Able to demonstrate entrepreneurial skills and recognise the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement.","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"9","BACHELOR OF BUSINESS WITH HONOURS (MARKETING)","https://www.ums.edu.my/fpep/","The program aims to foster innovative and responsible business executives globally (focused on marketing) in an effort to support the country’s aspirations in positioning Malaysia as a global business hub. Students will be exposed to theoretical and practical learning, beyond the lecture room environment in producing a holistic business graduates with high marketing skills. The program develops the basic knowledge of students through exposing to various business disciplines. This goal is achieved through the offering of various aspects of knowledge in the field of business according to specialization areas that are considered crucial in the marketing world. The areas of expertise include management and marketing which cover the knowledge of financial, accounting, market, sales, promotion, product, human resources, cross-culture and international business policy. Students will be exposed to various teaching methods such as case study analysis, industries and/ or departments visits and practicum training. The offering of the program is also aimed at producing a competitive and innovative workforce as well as realizing the desire to produce excellent graduates at both domestic and global levels.PEO1: Knowledgeable and technical competence in addressing contemporary business challenges.
PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization.
PEO3: Capable to solve problems related to the field of entrepreneurship, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. 
PEO4: Able to demonstrate entrepreneurial skills and recognise the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement. ","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
"10","BACHELOR OF BUSINESS WITH HONOURS (FINANCIAL MANAGEMENT AND BANKING)","https://www.ums.edu.my/fpep/","This program aims to nurture innovative and universally responsible business executives (who with focused knowledge in financial
management and banking) to support the nation’s aspiration in positioning Malaysia as a global business hub. Students will be
exposed to both theory and hand-on learning that extend beyond the classroom environment with aim to produce a holistic business
graduate that possess a high entrepreneurial skill. This programme aims to produce business graduate s specializing in financial
management and banking.PEO1: Knowledgeable and technical competence in addressing contemporary business challenges. PEO2: Effective in communication, perform well as a team player and demonstrate good leadership qualities in an organization. PEO3: Capable to solve problems related to the field of international business, creatively, innovatively, ethically, using numerical and technical skills, and through sustainable approach. PEO4: Able to demonstrate entrepreneurial skills and recognize the need of lifelong learning, as well as using a broad range of information, media and technology applications for successful career advancement.","Faculty of Business, Economics and Accountancy,
Universiti Malaysia Sabah,
Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel: (+6088) 320000 
Ext.: 1413 / 1520 / 1519
Fax: (+6088) 320360
Email: pejfpep@ums.edu.my","6 semester","-"
