uni_name,Faculty,Number of courses
Universiti Malaysia Sabah (UMS),ACADEMY OF ARTS & CREATIVE TECHNOLOGY,3
Universiti Malaysia Sabah (UMS),"FACULTY OF BUSINESS, ECONOMICS AND ACCOUNTANCY",10
Universiti Malaysia Sabah (UMS),FACULTY OF COMPUTING AND INFORMATICS,5
Universiti Malaysia Sabah (UMS),FACULTY OF ENGINEERING,6
Universiti Malaysia Sabah (UMS),FACULTY OF FOOD SCIENCE AND NUTRITION,4
Universiti Malaysia Sabah (UMS),FACULTY OF ISLAMIC STUDIES,1
Universiti Malaysia Sabah (UMS),FACULTY OF MEDICINE AND HEALTH SCIENCES,1
Universiti Malaysia Sabah (UMS),FACULTY OF PSYCHOLOGY AND EDUCATION,9
Universiti Malaysia Sabah (UMS),FACULTY OF SCIENCE AND NATURAL RESOURCES,9
Universiti Malaysia Sabah (UMS),FACULTY OF SOCIAL SCIENCES AND HUMANITIES,6
Universiti Malaysia Sabah (UMS),FACULTY OF SUSTAINABLE AGRICULTURE,3
Universiti Malaysia Sabah (UMS),FACULTY OF TROPICAL FORESTRY,5
Universiti Malaysia Sabah (UMS),LABUAN FACULTY OF INTERNATIONAL FINANCE,5
