"","UMT","Link","Introduction","Address","Contact","Duration","Fee"
"1","
	•Bachelor of Science (Biological Sciences) with Honours","https://fssm.umt.edu.my/biologicalsciences/","Program Sarjana Muda Sains (Sains Biologi) adalah program pengajian tiga (3) tahun vang merangkumi enam (6) semester TERMASUK satu (1) semester pendek di antara Semester 4 dan Semester 5. Program ini dijalankan sepenuh masa dengan 120 jam «redit untuk bergraduat. Kurikulum program ini meliouti disiolin asas bidang sains biologi termasuk biokimia, genetik, biologi sel dan molekul, mikrobiologi, anatomi dan fisiologi ekologi dan bioteknologi. Pelajar turut didedahkan kepada disiplin pengajian sains kimia dan statistik. Selain dari itu. pelajar juga berpeluang untuk menjalankan kajian di makmal atauoun lapangan melalui kursus Latihan Industri dan Projek Ilmiah Tanun Akhir.","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","6 semester","-"
"2","
	•Bachelor of Applied Science (Biodiversity Conservation and Management) with Honours","https://fssm.umt.edu.my/biodiversityconservationmanagement/","Program Sarjana Muda Sains Gunaan (Pemuliharaan dan Pengurusan Biodiversiti) adalah program pengajian tiga setengah (3.5) tahun yang menekankan kedua-dua aspek amali dan teori dalam sains gunaan di mana pelajar diwajibkan mengikuti kurus teras program yang merangkumi bidang biologi asas termasuk fisiologi, genetik, ekologi dan sebagainya di samping kurus evolusi dan biodiversiti organisma. biodiversiti ekosistem akuatik dan teresterial, pemuliharaan ekosistem spesis dan genetik, pengurusan hutan dan hidupan liar, penderiaan jauh dan GIS, dinamik populasi dan sumber-sumber asl tropika.","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","7 semester","-"
"3","
	•Bachelor of Science (Analytical and Environmental Chemistry) with Honours","https://fssm.umt.edu.my/analyticalenvironmentalchemistry/","Teras utama program ini adalah berasaskan kepada tiga bidang utama iaitu Sains Kimia, Kimia Analisis dan Kimia Persekitaran. Program ini telah direka bentuk bag menyampaikan ilmu pengetahuan' dalam bidang Sans Gunaan berkonsepkan Kimia Analisis Alam Sekitar kepada para pelajar. membekalkan dan meningkatkan keupayaan pelajar dalam menganalisis dan merumuskan sesuatu perkara serta melatih pelajar dalam penggunaan alat radas, bahan kimia dan instrumen yang berkaitan. Program in juga adalah untuk melahirkan individu yang bertanggungjawab untuk memastikan pembangunan negara berlaku dalam persekitaran yang bersih. selamat, sihat dan produktif bag generasi masa kini dan masa hadapan seperti vang dicadangkan oleh Dasar Alam Sekitar Negara (DASN) Malaysia","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","-","-"
"4","
	•Bachelor of Science (Chemical Sciences) with Honours","https://fssm.umt.edu.my/chemicalsciences/","Program Sarjana Muda Sains (Sains Kimia) ditawarkan oleh Fakulti Sains dan Sekitaran Marin berasaskan teras bidang fundamental yang menggabungkan bidang kimia fizikal, analisis, organik, tak organik dan bahan kimia termaju. Program ini telah dibentuk bagi menghasilkan graduan yang berpengetahuan luas dalam bidang kimia, dan mempunyai ilmu yang seimbang di antara pengetahuan teori dan praktikalnya. Program ini juga adalah bertujuan untuk melahirkan graduan yang mempunyai kualiti kepimpinan yang tinggi, beretika, profesional serta dapat menyumbang kepakaran dalam bidang kimia kepada negara pada masa kini dan masa hadapan.","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","-","-"
"5","
	•Bachelor of Science (Marine Science) with Honours","https://fssm.umt.edu.my/marinescience/","Program in bertujuan membangunkan sumber manusia terlatih di dalam pengurusan sumber lautan negara Penekanan akan diberikan kepada ilmu tori dan praktikal sains marin yang komprehensifiaitu meliputi aspek oseanografi biologi, kimia, fizikal dan geologi. Aspek semasa yang menjadi tumpuan di dalam sains marin adalah seperti pembangunan sumber lautan, penilaian kesan alam sekitar, pencemaran dan polisi marin. Program ini juga mempunyai kelebihan dari segi latihan amali di laut dan projek penyelidikan berkaitan sains marin. Ini dapat dicapai memandangkan UMT mempunyai pelbagai peralatan oseanografi yang lengkap dan terkini","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","-","-"
"6","
	•Bachelor of Science (Marine Biology) with Honours","https://fssm.umt.edu.my/marinebiology/","Program in memberi tumpuan kepada sumber hidupan laut dan bertujuan melahirkan graduan vang terlatih di dalam mengurus dan membangunkan sumber hidupan laut. Pada masa yang sama, pelajar akan didedahkan kepada ilmu menyeluruh berkaitan sains lautan yang mempengaruhi hidupan laut. 'Aspek penghasilan produk dari sumber hidupan marin akan diberi penekanan. Sumber terumbu karang dan hidupan laut yang kaya di Laut China Selatan akan dijadikan tumpuan semasa latihan amali pelajar","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","-","-"
"7","
	•Bachelor of Science (Geoscience Marine) with Honours","https://fssm.umt.edu.my/marinegeoscience/","Matlamat program in adalah untuk menghasilkan graduan yang kompeten dalam menguruskan sumber bum untuk pembangunan mampan. Pelajar akan didedahkan kepada ilmu geologi marin secara komprehensif yang merangkumi geologi, geospatial dan geofizik. Program in direka bentuk untuk memberikan pengalaman pembelajaran di lapangan untuk mendedahkan pelajar kepada interaksi secara langsung kepada geologi dan alat eksperimen","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","-","-"
"8","
	•Bachelor of Science (Nanophysics) with Honours","https://fssm.umt.edu.my/nanophysics/","Program Sarjana Muda Sains Gunaan Nanofizik dengan Kepujian merupakan program akademik perintis di universiti awam dan swasta di Malaysia yang berfokuskan kepada bidang nanofizik. Program ini melibatkan 3 tahun pengajian di universiti dan 1 tahun di industri atau dikenali sebagai program 3uli. Pelajar menghabiskan sebahagian pengajian di universiti dengan memberi tumpuan kepada aspek tori bagi bidang pembelajaran manakala sebahagian lag satu tahun Pembelajaran Berasaskan Kerja (WBL) di industri. Melalui program ini, beberapa ilmu bidang-bidang yang berkaitan dengan nanosains, nanoteknologi, kejuruteraan dan sains asas dapat diterokai untuk memenuhi keperluan semasa dan kelestarian masa hadapan. Penubuhan program ini adalah selaras dengan hasrat terkini kerajaan untuk memajukan lagi bidang nanoteknologi di Malaysia di samping melahirkan tenaga kerja berkemahiran tinggi yang berpengetahuan serta graduan yang lebih bersedia untuk sama ada meneruskan pengajian di peringkat pascasiswazah di mana-mana universiti tempatan dan juga luar negara, atau menerokai pasaran kerja tempatan dan antarabangsa","Faculty of Science and Marine Environment,
Universiti Malaysia Terengganu,
21030 Kuala Nerus,
Terengganu, MALAYSIA","Tel : +609 668 3615 / 3990Fax : +609 668 3193","8 semester","-"
"9","
	•Bachelor of Technology (Environment) with Honours","https://ftkki.umt.edu.my/bachelor-of-technology-environmental-with-honours/","
				Bachelor of Technology (Environment) is an undergraduate program that was first introduced in the year 2000. This four-year program is designed for preparing the graduates with environmental knowledge with a combination of science, management, and technical skills. The following objectives will be achieved through this undergraduate program:Develop essential knowledge and technical skills in science, technology, engineering, and environmental management.Capable of providing creative and innovative solutions for sustainable environmental problems.This course integrates the lithosphere (land), hydrosphere (water), biosphere (living things), and atmosphere (air) concepts in providing students with ample knowledge of the environment. In line with the United Nations’ sustainable development, the graduates are shaped to conquer the Sustainable Development Goals, including clean water and sanitation, affordable and clean energy, sustainable cities and communities, climate action, and partnership for the goals.The courses taught in this program are designed with current local regulations and guidelines from the Department of Environment, the Sustainable Energy Development Authority, the Department of Occupational Safety and Health, and the Energy Commission. Besides, internationally from the Intergovernmental Panel on Climate Change, the United States of Environmental Protection Agency, the World Health Organization and the ASEAN Center for Energy.The 24 weeks industrial training is compulsory for preparing graduates with real work experiences. The combination of cognitive, psychomotor, and affective is ensemble through lectures, tutorials, assignments, quizzes, and laboratory works to prepare the graduates with proficiency for data collection, analysis, and presentation with appropriate modeling and software.					","Faculty of Ocean Engineering Technology and Informatics (FTKKI)
Universiti Malaysia Terengganu, 21030 Kuala Nerus, Terengganu, Malaysia","ftkki@umt.edu.my +609-6683555/+609-6683367","8 semester","RM1960 annually"
"10","
	•Bachelor of Science (Applied Mathematics) with Honours","https://ftkki.umt.edu.my/bachelor-of-science-computational-mathematics-with-honours/","
				This programme has been developed as an effort to produce Mathematical Sciences graduates who are able to apply knowledge and expertise that meet the needs of the workforce. The curriculum has been designed which meet eleven domains of program learning outcomes. This programme is basically acquiring mathematical and statistical knowledge, as well as related concepts in various areas such as modeling, computing, optimization, geometry and physical science. Students will also be exposed to knowledge and skills in various up-to-date mathematical methods as well as computer programming.Along with the development of current technology and the needs of the Industrial Revolution 4.0, several courses in this programme have been integrated with SAS modules that enables students to obtain a globally recognized SAS professional certificate. In addition, the programme also train students to think logically, structured and accurately, and assist them to find effective solutions in related fields. At the end of the study, students will undergo Industrial Training for 24 weeks in the industry. During training, students will be supervised by experts from industry and have opportunity to gain new knowledge and experience in preparation for the next phase.					","Faculty of Ocean Engineering Technology and Informatics (FTKKI)
Universiti Malaysia Terengganu, 21030 Kuala Nerus, Terengganu, Malaysia","ftkki@umt.edu.my +609-6683555/+609-6683367","7 semester","RM1880 annually"
