uni_name,Faculty,Number of courses
University of Malaya (UM),Built Environment,5
University of Malaya (UM),Languages and Linguistics,13
University of Malaya (UM),Pharmacy,1
University of Malaya (UM),Engineering,5
University of Malaya (UM),Education,3
University of Malaya (UM),Dentistry,1
University of Malaya (UM),Business and Economics,4
University of Malaya (UM),Medicine,3
University of Malaya (UM),Science,13
University of Malaya (UM),Computer Science and Information System,6
University of Malaya (UM),Arts and Social Sciences,12
University of Malaya (UM),Creative Arts,3
University of Malaya (UM),Law ,1
University of Malaya (UM),Academy of Islamic Studies,7
