course,Link,Introduction,Address,Contact,Duration,Fee
"
							UW6481001-Bachelor in Computer Science with Honours (Computational Science)						",https://www.unimas.my/courses-finder/course/uw6481001,"Computational Science is the field of study concerned with constructing mathematical models and its numerical solution techniques, as well as using computers to analyse and solve scientific, social, and engineering problems.

Graduates of Computational Science Programme would be able to have careers in fields such as (but not limited to) Statistician, Software Developer, System Analyst, Programmer, Production and Logistic Planner, Operational Research Analyst and Research Scientist.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters.",-
"
							UW6481002-Bachelor in Computer Science with Honours (Information Systems)						",https://www.unimas.my/courses-finder/course/uw6481002,"Nowadays, enterprises are moving to a higher level of automation and are highly dependent on information provided by computer-based system. These complex systems will become an exceedingly important strategic asset of the organisation. The study of Information System, therefore, is concerned with the development of systems that will get the right information to the right people at the right time.

This programme’s four (4) year structure is designed for students who wish to be competent in deciding how technology are utilise to support organisational/business objectives or to create new opportunities, determine the supporting process and data, implementing computer-based systems and also developing new and innovative products.

All courses consist of extensive theoretical and practical studies will require the use of a wide variety of system development tools. With organisations, people, processes and technical aspects in system development as its focal point, students will be equipped with basic organisational theory, decision-making, project management and system development skills, which are parallel with the latest information technology system.

Graduates of Information System Programme would be able to have careers in fields such as (but not limited to) Information Systems Officer, System Analyst, Database Administrator, Database Analyst, Project Manager, Application Developer, Application Consultant, Business Analyst, Business Process Analyst, User Interface Designer, Web Content Manager, e-Business Manager, IT Consultant, IT Architect, Research Officer and Educator.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6481003-Bachelor of Computer Science with Honours (Multimedia Computing)						",https://www.unimas.my/courses-finder/course/uw6481003,NA,"UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6481004-Bachelor in Computer Science with Honours (Software Engineering)						",https://www.unimas.my/courses-finder/course/uw6481004,"Software engineering is a discipline that involves the application of scientific and engineering principles and technical know-how to design, to develop, to operate and to maintain large and complex systems or applications.

Software engineering encompasses knowledge from multiple fields such as management, mathematics, project management and as well as quality management.

The programme curriculum will emphasize towards the fundamentals in software engineering, methodologies, tools for software development as well as methods in accessing the quality of the software that is developed.

In SE progamme structure, the total credit hours are 132 and it takes 4 years to finish the study. Upon successful completion of the course students will be capable of developing software of high quality, developed on time and easy to maintain and reuse.

Students will be prepared with both the necessary soft skills and technical skills in order to fulfill the demands of the industry. It is our hope that we can produce leaders, critical thinkers and technopreneurs in order to fuel the knowledge economy in today’s competitive environment. Students could embark on any of the exciting careers, including; Software Tester, Software Architect, Software Engineer, Software Developers, Software Project Manager, Software Development Consultant.

Graduates of Software Engineering Programme would be able to have careers in fields such as (but not limited to) Software Tester, Software Architect, Software Engineer, Software Developers, Software Project Manager, Software Development Consultant.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,-,-
"
							UW6481005-Bachelor in Computer Science with Honours (Network Computing)						",https://www.unimas.my/courses-finder/course/uw6481005,"Network Computing provides the students with a background of core areas in Network Computing where students are able to model and build computer network environment. The program focuses on the integration of hardware and software technologies such as high-speed and high-performance computer networks, wireless/mobile systems and networks. Also to provide knowledge mainly in the area of cyber security, network infrastructure design, wireless system, internet of things and block chains.

In this programme we are committed to produce skilled and industry relevant graduates who are ready to face challenges at the workplace. Therefore, students will be prepared with both the necessary soft skills and technical skills in order to fulfill the demands of the industry.

The total credit hours are 132 and it takes 4 years to complete the programme.

Graduates of Network Computing Programme would be able to have careers in fields such as (but not limited to) Computer Network Administrator, Network Engineer, System Programmer, Network Programmer, Network Communication Consultant and Computer Network Officer.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6526002 - Bachelor Of Civil Engineering With Honours						",https://www.unimas.my/courses-finder/course/uw6526002,"This programme involves planning, designing, construction and handling the operation of buildings, bridges, port, dam, power generation station, highway, railway, airport, water supply and distribution, sewage disposal control. The programme offers courses which are geared towards specializations in Geotechnical Engineering, Transport Engineering or Structural Engineering.

Civil Engineering are needed all over the world in many roles, from the small number in research and development to the more usual design, management and control positions. There is an increasing national demand for civil engineers especially in the construction, highways, airports, dams environmental monitoring and other sectors. The graduate may also gain employment as research scientists working for research and consultancy in universities or other related organization.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6522001 - Bachelor Of Electrical And Electronics Engineering With Honours						",https://www.unimas.my/courses-finder/course/uw6522001,"Electrical and electronic engineering is an important field of professional Malaysia where it has been identified as the catalytic activities of public or private sector needs electrical and electronics industry that can contribute to the national economy. With this program, it is hoped that it can accommodate the shortage of professionals in this critical field.

Wide employment opportunity in any organization which utilize or involve in information technology industry such as software and computer component design, electronics instrumentation manufacturing and computer networking for information transmission.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6521001 - Bachelor Of Mechanical Engineering With Honours						",https://www.unimas.my/courses-finder/course/uw6521001,"Mechanical engineers are vital to the country’s economic and infrastructure development as they play a pivotal role in the designing, development, manufacturing and maintenance of all the components which improve and support the systems and structure of our modern way of life. The student attending this programme will be exposed to an integrated education system enable them to be far-sighted and function not just as an engineer which will but also as a skilful manager. The aim of this programme therefore, is to impart the relevant knowledge and skills to cultivate a high level of self-confidence to enable graduates to become competitive, efficient, accountable, far-sighted engineers offering high quality professional service.

Mechanical engineering is a uniquely broad profession. It provides challenging career opportunities in field as diverse as power generation, automotive and aerospace technology, machine tools and robotics, bioengineering and the food, chemical and oil industries. Mechanical engineers work in design, research and development, consultancy, manufacturing, marketing and operations of technical and managerial expertise. Whereas, manufacturing engineers are employed in key positions in a wide range of industries. They are experts in designing and managing the essential systems necessary for successful industrial and business enterprises and they work, to improve productivity, in terms of availability, quality and costs of products or services supplied to customers, which amalgamate, technology, management and human resources.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6524001 - Bachelor Of Chemical Engineering With Honours						",https://www.unimas.my/courses-finder/course/uw6524001,"Welcome to the Department of Chemical Engineering and Energy Sustainability, Unimas. Our department offers degree course in chemical engineering at undergraduate [Bachelor of Chemical Engineering with Honours and postgraduate (MSc and PhD) levels recognized nationally and internationally. Bachelor of Chemical Engineering with Honours is a four-year course, which is accredited by Engineering Accreditation Council (EAC). Chemical Engineering focuses on the application of engineering principles to the design, construction and operation of industrial processing plants. Apart from basic chemical engineering knowledge, this programme is inclined to prepare the students toward specific engineering expertise in energy and natural resources. With such, the students have the options to select preferred elective courses in their final year. The programme has been designed as such that the graduates from this programme can embark their careers not limited to chemical engineering processing industry such as those dealing with petrochemicals, chemicals, pharmaceuticals, semiconductors, food processing and other related industries only. The job involves supervision of plant operation and maintenance, troubleshooting operational problems related to process, and undertaking plant modification work for process operability and safety improvement. The graduates may also work in other industries related to power generation, environmental engineering and  sustainability to a more specific research career in academic institutions. The programme was designed to include contributions from industrial panels allowing students to relate the theory and practicality of knowledge learnt.    Moreover, students have opportunity to experience technical and hands on skill through research in final year project, laboratory experiments and also the 12 weeks of industrial training internship program. Throughout the programme, students gain soft skills such as leadership, teamwork and communication skills, preparing students for their career development.  Looking forward to meet you joining us in Department of Chemical Engineering and Energy Sustainability, UNIMAS","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"4 Year, 8 Semesters",-
"
							UW6721001 - Doctor of Medicine						",https://www.unimas.my/courses-finder/course/uw6721001,"Medical education today requires medical students who are critical of their own learning processes. They should be able to seek knowledge of their own accord, evaluate medical problems in great detail and seek solutions to the challenges that they encounter. They are expected to be able to communicate effectively and to manage issues related to medicine and the health of the community. These characteristics are not fostered fully in most current medical educational systems, many of which emphasise passive learning approaches. However, the medical education approaches to teaching and learning employed by this Faculty offer medical students opportunities to develop their potential and creativity and to make full use of these capabilities. These approaches require students who are confident that the medical profession is their best choice.","UNIMAS Holdings Sdn. Bhd, Level 6, UNIMAS City Campus, Lot 77, Section 22,KTLD Jalan Tun Ahmad Zaidi Adruce, 93150 Kuching,Sarawak, Malaysia",Telephone: +60 82 22 2000 Fax: +60 82 22 2107 Email: helpdesk@unimasholdings.com,"5 Years, 10 Semester",-
