uni_name,Faculty,Number of courses
Universiti Sultan Zainal Abidin,Faculty of Medicine,2
Universiti Sultan Zainal Abidin,Faculty of Applied Social Sciences,2
Universiti Sultan Zainal Abidin,Faculty of Business and Management,4
Universiti Sultan Zainal Abidin,Faculty of Innovative Design and Technology,3
Universiti Sultan Zainal Abidin,Faculty of Pharmacy,1
Universiti Sultan Zainal Abidin,Faculty of Informatics and Computing,4
Universiti Sultan Zainal Abidin,Fakulti Pengajian Kontemporari Islam,5
Universiti Sultan Zainal Abidin,Faculty of Law and International Relations,2
Universiti Sultan Zainal Abidin,Faculty of Health Sciences,4
Universiti Sultan Zainal Abidin,Faculty of Bioresources and Food Industry,7
Universiti Sultan Zainal Abidin,Faculty of Languages and Communication,4
