course,Introduction,Fee,Duration,Link,Address,Contact
SARJANA MUDA SASTERA DENGAN PENDIDIKAN (KEPUJIAN),NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/303-st01-ijazah-sarjana-muda-sastera-dengan-pendidikan-kepujian,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SAINS DENGAN PENDIDIKAN (KEPUJIAN),NA,1210 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/304-st02-ijazah-sarjana-muda-sains-dengan-pendidikan-kepujian,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
SARJANA MUDA PENDIDIKAN (KEPUJIAN) (PENDIDIKAN KHAS),NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/305-st10-ijazah-sarjana-muda-pendidikan-kepujian-pendidikan-khas,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA PENDIDIKAN (KEPUJIAN) (TESOL,NA,1100 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/306-st39-ijazah-sarjana-muda-pendidikan-kepujian-tesol,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SASTERA (KEPUJIAN) (SENI HALUS),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/236-sa07-ijazah-sarjana-muda-sastera-kepujian-seni-halus,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SENI MUZIK (KEPUJIAN) (SENI PERSEMBAHAN DAN PEDAGOGI),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/229-sa05-ijazah-sarjana-muda-seni-muzik-kepujian-seni-persembahan-dan-pedagogi,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SENI HALUS (KEPUJIAN) (LAKONAN DAN PENGARAHAN),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/234-sa06-ijazah-sarjana-muda-seni-halus-kepujian-lakonan-dan-pengarahan,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SENI HALUS (KEPUJIAN) (REKABENTUK DAN TEKNOLOGI MEDIA BARU),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/243-sa54-ijazah-sarjana-muda-seni-halus-kepujian-rekabentuk-dan-teknologi-media-baru,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SENI HALUS (KEPUJIAN) (GRAFIK KOMUNIKASI),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/241-sa11-ijazah-sarjana-muda-seni-halus-kepujian-grafik-komunikasi,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
SARJANA MUDA SENI HALUS (KEPUJIAN) (REKABENTUK PRODUK),NA,1250 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sastera/244-sa55-ijazah-sarjana-muda-seni-halus-kepujian-rekabentuk-produk,"Pusat Pengajian Ilmu Pendidikan, Universiti Sains Malaysia,11800 USM, Pulau Pinang Malaysia",NA
