cours,Fee,Duration,Link,Address,Contact,Introduction
Bachelor of Civil Engineering with Honours,1600 per semester,4 years,http://fkaab.uthm.edu.my/programmes.html#civil,"Faculty of Civil Engineering and Built Environment, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia","Assoc. Prof. Dr. David Yeoh Eng Chuan

Phone: +607-4564224 / +6013-6251500

E-mail: david@uthm.edu.my","The Bachelor of Civil Engineering with Honours programme offered by FKAAB aims to produce graduates who possess fundamental civil engineering knowledge, problem solving skills, and team working skills in order to be employed by various organisations, including governmental agencies, consulting or design firms, construction firms, laboratories, project developers and institutes of higher learning."
Bachelor of Science in Architecture,1397 per semester,3 years,http://fkaab.uthm.edu.my/programmes.html#architect,"Faculty of Civil Engineering and Built Environment, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia","Ts. Dr. Izudinshah Abd Wahab

Phone: +607-4564227 / +6012-4401206

E-mail: izudin@uthm.edu.my",The Bachelor of Science in Architecture programme offered by FKAAB strives to produce innovative and technically competent architectural graduates who will be ready to respond and engage with the community and the environment in creating sustainable built environment for the benefit of mankind.
Bachelor of Mechanical Engineering (Honours) [BDD],1600  per semester,4 years,https://fkmp.uthm.edu.my/index.php/academic-programmes/undergraduate-programmes/bachelor-of-mechanical-engineering-with-honours-bdd,"Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia",Tel: +6074537703    Fax: +6074536080 ,"The faculty is committed to produce excellent graduates that suitable for market needs, locally and globally. The undergraduate programme has been developed in response to the requirements of fast evolving industry in mechanical and manufacturing engineering. The programmes are designed with an emphasis on practical application that would enable students to apply new knowledge in the real-world. It concentrates on the mechanical and manufacturing engineering to provide the substantial knowledge and skills for future engineers in related areas and applications. The programme goes through a periodical review of every 2 years to ensure the continual suitability and relevance to the need of the market industry.

The programmes have been practiced with the Outcome Based Education (OBE) philosophy. This is to ensure the graduates are not only equipped with sufficient engineering knowledge, but also strengthening their individual soft-skills. The engineering programme is accredited by the Malaysian Engineering Accreditation Council (EAC), certified by the Board of Engineers, Malaysia.

In line with the University's mission to produce and train professionals and technologists with competitive and noble attitude, students will be guided by professional and dedicated lecturers. Programmes offered by FKMP will satisfy the core of mechanical and manufacturing engineering by focusing on specific areas such as mechanical, plant and automotive, manufacturing and industrial, material and design, and mechanical technology engineering. To enhance students’ understanding and creativity, Faculty’s laboratories are equipped with the latest technology equipments and well trained technicians. Students will also undergo practical work in the field related to the needs of industry."
Bachelor of Aeronautical Engineering Technology (Aircraft Maintenance) with Honours [BDM],1600 per semester,4 years,https://fkmp.uthm.edu.my/index.php/academic-programmes/undergraduate-programmes/bachelor-of-aeronautical-engineering-technology-aircraft-maintenance-honours-bdm,"Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia",Tel: +6074537703    Fax: +6074536080 ,"The Aeronautical Engineering Technology (Aircraft Maintenance) with Honours has been developed to prepare graduates with knowledge, problem solving ability, and skills required in the aviation industry. This programme aims producing well-rounded graduates and competent aircraft maintenance engineers. The course is fully accredited by the Malaysia Qualifications Agency (MQA) and is designed to have a combination of an engineering degree component and a professional licensing component. For professional licensing component, the students will go through a structured training at approved training organizations which are authorized by the Civil Aviation Authority of Malaysia (CAAM) that enables students to obtain an aircraft maintenance license."
Bachelor of Aeronautical Engineering Technology (Professional Piloting) with Honours [BDC],1600  per semester,4 years,https://fkmp.uthm.edu.my/index.php/academic-programmes/undergraduate-programmes/bachelor-of-aeronautical-engineering-technology-professional-piloting-honours-bdc,"Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia",Tel: +6074537703    Fax: +6074536080 ,"The Aeronautical Engineering Technology (Professional Piloting) program has been developed in response to the requirements of the fast-evolving aviation industry. The program is designed with an emphasis on practical application that would enable students to apply new knowledge in the real-world. It concentrates on the aeronautical engineering technology to provide substantial knowledge and skills for a future aeronautical technologist in related areas and applications. The Aeronautical Engineering Technology (Professional Piloting) program also equips students for a professional career as a commercial pilot. This degree aims to provide students with skills and knowledge beyond the fundamental flying skills required to be a commercial pilot. The degree is designed to equip students to successfully operate in the aviation industry, in the cockpit and beyond. Graduates with a unique combination of flying qualifications and an undergraduate degree may be seen as an asset to their employer."
Bachelor of Aeronautical Engineering Technology (Aircraft Manifacturing) with Honours.,1600  per semester,4 years,https://fkmp.uthm.edu.my/index.php/academic-programmes/undergraduate-programmes/bachelor-of-engineering-technology-aircraft-manufacturing-honours-bdx,"Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, 86400 Parit Raja, Batu Pahat, Johor, Malaysia",Tel: +6074537703    Fax: +6074536080 ,"The faculty is committed to produce excellent graduates that meet the market needs, locally and globally. The undergraduate programme has been developed in response to the current requirements of the rapidly evolving aerospace industry. The programme is designed with an emphasis on practical application that would enable students to apply new knowledge in the real-world. It concentrates on the aircraft manufacturing engineering technology and aims to equip students with sufficient knowledge and soft skills needed for future technologists in related areas and applications. The programme is reviewed every 2 years to ensure its continuous suitability and relevance to the industry.

The curriculum adopted Work Based Learning (WBL) learning approach and implemented 3U1I mode of learning which require students to study in the university for three years and one year in the industry. This is to ensure the graduates are not only equipped with sufficient engineering technology knowledge but also strengthening their soft-skills. To produce competent, technically skilful, and innovative graduates, the program is designed to have a combination of engineering technology degree, skill competency and aerospace management system components. For the engineering technology degree component, the offered courses cover all areas associated with aircraft manufacturing such as manual drafting, computer-aided design, materials engineering, manufacturing technology, and computer-aided manufacturing. The courses are conducted through lectures, tutorials, laboratory experiments, workshop practices, Sijil Kemahiran Malaysia (SKM) examination, bachelor degree project, and industrial training. The quality is assured as the programme has been accredited by Malaysian Qualifications Agency (MQA)."
Bachelor of Electrical Engineering with Honours,1600  per semester,4 years,https://fkee.uthm.edu.my/index.php/programme/undergraduate-programmes/127-bachelor-of-electrical-engineering-with-honours-bev,"Faculty of Electrical and Electronic Engineering (FKEE)
Universiti Tun Hussein Onn Malaysia (UTHM)
86400 Parit Raja, Batu Pahat
Johor, Malaysia","Tel: +607-4564505
Fax: +607-453 6337
Email: dekan.fkee@uthm.edu.my","Bachelor of Electrical Engineering with Honours (BEV) offers academic study in the field of electrical engineering which covers topics in Electrical Machines, Power Electronics, Electrical Drives, Power System Analysis, Power System Protection, High Voltage Engineering, Industrial Power System, Power Quality and Integrated Design Project, among others. This programme is accredited by Engineering Accreditation Council (EAC) and Malaysian Qualification Agency (MQA). The normal duration of the programme is 8 semesters or 4 years, in which the students are required to complete 137 credit hours, including 10 weeks of internship.

BEV programme focuses on students’ development in order to produce engineers with attributes outlined by International Engineering Alliance (IEA). The deliveries and assessments are adopting Student-Centered Learning (SCL) approaches, such as Problem-Based Learning (PBL) and Project-Oriented Problem-Based Learning (POPBL). Apart from that, students in BEV programme are also trained to solve complex engineering problems, as well as engaged in complex engineering activities. Through cooperation with Huawei, BEV programme offers elective courses for the students to become Huawei-Certified ICT Associate (HCIA). These elective courses can be taken towards the end of their study, and it provides a platform for the students to obtain competency certificate prior to graduation.

The graduates of BEV programme are expected to be competent in the field of electrical engineering to fulfill the needs of industries. Upon graduation, BEV graduates will be able to register with Board of Engineers Malaysia (BEM) under ‘Electrical’ branch. This will entitle them to work as electrical engineers, be it in Malaysia or abroad. After minimum of three (3) years working as engineers, they are able to apply as Professional Engineers through BEM, and their career paths can be further extended to become Competent Engineers and Competent Service Engineers through Energy Commission (EC) Malaysia. Apart from that, BEV graduates can also become Registered Electrical Energy Manager (REEM) through EC as well, and Qualified Persons through Sustainable Energy Development Authority (SEDA) Malaysia."
Bachelor of Electronic Engineering with Honours,1600  per semester,4 years,https://fkee.uthm.edu.my/index.php/programme/undergraduate-programmes/128-bachelor-of-electronic-engineering-with-honours-bej,"Faculty of Electrical and Electronic Engineering (FKEE)
Universiti Tun Hussein Onn Malaysia (UTHM)
86400 Parit Raja, Batu Pahat
Johor, Malaysia","Tel: +607-4564505
Fax: +607-453 6337
Email: dekan.fkee@uthm.edu.my","Bachelor of Electronic Engineering with Honours (BEJ) programme offered by the Faculty of Electrical and Electronic Engineering (FKEE) at Universiti Tun Hussein Onn Malaysia is accredited by Engineering Accreditation Council (EAC) and Malaysian Qualification Agency (MQA) which comprises of four stakeholders namely, Board of Engineers Malaysia (BEM), the Institution of Engineers Malaysia (IEM), Industry Employers and the Public Service Department (JPA). BEJ programme covers five electronic engineering disciplines for the prospective students to choose which are Computer Engineering, Medical Electronic Engineering, Mechatronic Engineering, Communication Engineering and Microelectronic Engineering.


BEJ programme is designed by taking into account the latest development in electronic engineering field to prepare the students with the capabilities of solving complex engineering problems in electronic engineering. The normal duration to complete the programme is 4 years, in which the students are required to complete 139 credits. Students from other higher learning institutions with a degree equivalent to BEJ programme offered by FKEE are eligible for credit exemptions to complete their studies in less than 4 years.

BEJ programme structure contains core electronic engineering courses, elective courses and laboratory (experiments and engineering practice) sessions. Apart from that, students are required to involve in Student-Centered Learning (SCL) activities such as Problem-Based Learning (PBL) and Project-Oriented Problem-Based Learning (POPBL). The third year students will undergo an industrial training placement for 10 weeks. Upon returning to the Faculty, the fourth or the final year students can choose a variety of elective courses related to electronic specialization and embedded with Industrial Revolution 4.0 (IR 4.0) essentials. The elective courses include Huawei Certified ICT Associate-Level Routing & Switching, Cloud Computing and Artificial Intelligence to prepare the students for competency certification. In addition, students are required to carry out the Final Year Project (FYP) for two semesters as part of the requirements in order to be awarded Bachelor of Electronic Engineering with Honours.

Graduates of BEJ programme are trained to be competent in the field of electronic engineering to fulfill the industrial demand at the national and international level. In addition, they are equipped with the necessary generic skills which are to be applied holistically in their professional engineering practice. On top of that, the graduates are nurtured to perform their work ethically and faithfully according to the needs of global society.

As for career prospects, electronic engineering field suits most of the sectors in Malaysia and abroad. Graduates of BEJ programme would commonly ended up being one of the followings: Electronic Engineer, Control and Instrumentation Engineer, Industrial Automation Engineer, Mechatronic Engineer, Design Engineer, Production Engineer, Academia, Entrepreneur, Project Engineer, Network Engineer, Communication Engineer, Sales Engineer for Microelectronic Devices, Microelectronic Design Engineer, Microelectronic Fabrication Engineer, Microelectronic R&D Engineer, Sales Engineer for Medical/Biomedical Devices, Medical/Biomedical Test Engineer, Medical/Biomedical Service Engineer, Medical/Biomedical R&D Engineer, Medical/Biomedical Manufacturing Engineer, Computer Engineer, Software Engineer, Computer Scientist, Network & Computer Administrator, Data Scientist, Database Administrator, Computer System Analyst, Design Engineer, Production Engineer and Consultant."
Bachelor of Science ( Industrial Statistics ) with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/bachelor-of-science-industrial-statistics-with-honours/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
Bachelor of Science ( Mathematics Technology ) with Honours.,1600  per semester,4 years,https://fast.uthm.edu.my/bachelor-of-science-mathematics-technology-with-honours/,"Fakulti Sains Gunaan dan Teknologi, UTHM Kampus Pagoh, KM1, Jln Panchor, 84600 Muar, Johor",email: fast@uthm.edu.my,NA
