course,uni_name,Fee,Introduction,Duration,Link,Address,Contact
Bachelor of Biomedical Engineering with Honours,Universiti Teknologi Malaysia,12400," The Bachelor of Engineering (Biomedical) with Honours is offered on a full-time basis. There is a growing demand for technical professionals who can effectively integrate the fields of biomedical science and engineering. Professionals who are capable of understanding medical problems within the context of engineering sciences will be able to solve problems that are of interest to both engineers and medical practitioners.
This new field of biomedical engineering has made significant contributions to technological advancement in various fields of medicine and healthcare.  These include the creation and production of artificial human parts, communication aids and assistive tools for people with disabilities, new diagnostic and therapeutic tools that lead to new medical procedures, etc. Technology in medicine has advanced so much that, today, there are countless medical devices specifically designed for home use.
The Biomedical Engineering bachelor programme is a mixed curriculum of engineering and biomedical sciences. The course contents for 1st year and 2nd year are geared towards the principles and fundamentals of biomedical engineering and sciences, such as Introduction to Biomedical Engineering and Basic Anatomy & Physiology; while also learning general engineering courses such as Engineering Mathematics and Digital Electronics. Students are also required to take general university courses such as Academic English Skill and Islamic & Asian Civilization.
In the 3rd year students will be exposed to more specialised courses such as Biomedical Instrumentation & Measurement, Clinical Engineering, and Biomedical Materials. In the final 4th year, students will be further reinforced in the field of biomedical engineering through courses like Biomedical Systems Design, Biochemistry for Biomedical Engineers and Biomedical Signal Processing. Students will also be required to take three elective courses such as Rehabilitation Engineering, Biosystems Modelling, and Medical Informatics. In addition, students in the final year are required to complete a Final Year Project (FYP), Professional Practice in Biomedical Engineering and Entrepreneurship. All these courses are designed and structured to produce a competent and reliable biomedical engineer. The Bachelor of Engineering (Biomedical) with Honours is offered on a full-time basis. There is a growing demand for technical professionals who can effectively integrate the fields of biomedical science and engineering. Professionals who are capable of understanding medical problems within the context of engineering sciences will be able to solve problems that are of interest to both engineers and medical practitioners. 1.   Awarding Institution
Universiti Teknologi Malaysia
2.   Teaching Institution
Universiti Teknologi Malaysia
3.   Programme Name
Bachelor of Engineering (Biomedical) with Honours
4.   Final Award
Bachelor of Engineering (Bio-Medical) with Honours
5.   Programme Code
SEBB-01
6.   Professional or Statutory Body of Accreditation
Malaysian Qualification Agency Engineering Accreditation Council
7.    Language(s) of Instruction
English and Bahasa Melayu
8.   Mode of Study (Conventional, distance learning, etc)
Conventional
9.   Mode of operation (Franchise, self-govern, etc)
Self-governing
10. Study Scheme (Full Time/Part Time)
Full Time
11. Study Duration
Minimum: 4 years
Maximum: 6 years
 ",4,http://engineering.utm.my/biomedical/bachelor-of-engineering-bio-medical-2/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Chemical Engineering with Honours,Universiti Teknologi Malaysia,12400," Chemical engineering is a field that is expanding widely through out the world. The expertise is greatly needed to fulfill the demand for carrying the task that cannot be performed by the mechanical engineers and chemists. This fields has matured and currently covers many aspects of engineering such as systems design and processing of agricultural products, petroleum and petrochemicals, polymers, pharmaceuticals, bio-fuel, biochemical and many more. In the current state of the world, where resources are limited and sustainable development is a major challenge, the requirement for expertise in chemical engineering is even more crucial. In addition to fundamental fields such as science and mathematics, humanities and social sciences and basic engineering, there are four major areas in the Bachelor of Chemical Engineering course, These are separation technology, reaction engineering, environmental engineering and process systems engineering.Read More In separation technology, student are exposed to processes and unit operation equipment in chemical engineering. To understand separation processes. a strong grasp on transport phenomena, which include momentum transfer, mass and heat transfer, is necessary. Mass and heat transfer theories are essential in designing or choosing a suitable heat exchanger to be utilized in a chemical plant. Meanwhile, the unit operation subject covers theories and design of major equipment in the separation of liquid-liquid, gas-liquid,solid-liquid and solid-gas system. Among the equipment are distillation, evaporation, drying, absorption, leaching and other separation techniques such as membrane technology and filtration. Knowledge in separation theory and unit operations is necessary in designing an optimum and safe plant.Chemical engineering also focuses on the thermodynamics and chemical reaction aspects apart from designing a reaction system. Amongst the topics discussed are reaction kinetics in a reactor, types of reactors and reactor design. The students will learn chemical engineering thermodynamics aspects, which elucidate the characteristics of pure fluid, thermal effects, fluid thermodynamics characteristics, homogeneous thermodynamics, phase equilibrium and chemical reaction equilibrium. The knowledge will consequently be used in learning chemical reaction of processes. Another important aspect in chemical engineering is environmental safety. Environmental engineering subjects cover types of air and water pollution, and also analytical method for pollution measurement, waste treatment and waste management. The workers safety aspects will also be introduced.In process system engineering, mass and energy balances is the fundamental subject. In this subject, the students will be introduces to the processes in chemical engineering as well s the calculation method for mass and energy balances for different processes. This includes the processes that have chemical reactions and also processes with physical transformations only. The skill in calculating mass and energy balances is very important in many other chemical engineering subjects.The crux of the chemical engineering course is plant design and synthesis, which includes the selection of process, constructing flow sheets, mass and energy balance, detailed design, selection of equipment and raw materials, process control, operational instruction, cost and economics and also environmental and safety aspects in a plant. Students are also required to complete a processing plant design project in groups. Here, all the techniques learn in the previous years will be integrated in proposing a design for an assigned plant.Apart from chemical engineering theories, students are also exposed to practical aspects of the field. Every area mentioned before has its own practical or laboratory sessions. The students are also required to prepare a project report to train them to integrate technical knowledge with communication and management in carrying out a task. For the group exercise, the students are required to complete a plant design as mentioned before. In addition, students will also carry out a bachelor’s level research project, in which they will individually work under the supervision of a lecturer. At the end of the design and research work, the students are required to prepare a thesis and give an oral presentation, which will be evaluated by internal and external examiners.The UTM curriculum requires students to undergo industrial training fro 10-12 weeks during the semester break after the third year of education. A written report about the work done and experiences during the training must be presented at the end of the training period.  For students in the Bachelor of Chemical Engineering program, the tendency towards any specific industry can be fulfilled by choosing the right optional subjects. This will provide them with additional suitable expertise for the industry.",4,http://engineering.utm.my/chemicalenergy/bachelor-of-chemical-engineering-2/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Nuclear Engineering with Honours,Universiti Teknologi Malaysia,12400,"Depletion of the country’s petroleum and gas reserves has prompted the country to look for alternative sources of energy. Nuclear energy is one of the best alternative sources of energy. Rapid developments in the application of nuclear engineering in other sectors such as defence, medical and agriculture are demanding for more nuclear engineers. It has been shown that one of the critical conditions for the successful introduction of a nuclear power programme and other nuclear related industries is the availability of trained manpower that meets the desired quality and quantity. These reasons have called for the establishment of education/training infrastructures as well as national education and training capabilities in the field of engineering and science in order to develop qualified personnel for the nuclear power programme.",4,http://engineering.utm.my/chemicalenergy/bachelor-of-nuclear-engineering-2/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Chemical Engineering (Bioprocess) with Honours,Universiti Teknologi Malaysia,12400,"Bioprocess Engineering is an engineering dicipline where biotechnology and natural based products research are being transformed to industrial setting to fuel the current and future world economic powerhouses.  In this program, various engineering principles especially chemical and bioprocess are applied to design, develop and evaluate processes that utilize biological based materials (eg:animals, plants, microorganisms) to produce products.  Throughout our four years of intensive training and industrial exposure, students will experience state-of-the-art-technologies that will pave the way for professional bioprocess engineering qualifications.  The graduates will be well versed in mathematical-based engineering analysis that will be enable them to explain the physical, biological and chemical processes of complex biological systems and design processes that will yield products which could create wealth, promote health and promote sustainability.  The sectors served by bioprocess engineers are in the area of medical, food, environment, agriculture and many more.",4,http://engineering.utm.my/chemicalenergy/bachelor-of-engineering-chemical-bioprocess-2/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Chemical Engineering (Gas) with Honours,Universiti Teknologi Malaysia,12400,"Gas Engineering is a field of profession that involved activities such as gas processing, pipeline transmission & distribution and gas utilization. Skills and expertise in the process design, installation, system operation, project supervision, research and management are important to ensure those activities are performed in a safe and efficient manner for the benefit of mankind. With the 84.9 trillion cubic feet (2004) gas reserves,  Malaysia is in need of skill manpowers in gas engineering area in order to utilize this energy that is estimated to last for about 6o years. Malaysia is 16th in the list of world gas reserves. In 1984, the first Gas Processing Plant in Peninsular Malaysia (Terengganu) was launched. This mark the beginning of gas era in Malaysia that was followed by the implementation of peninsular gas utilization projects.",4,http://engineering.utm.my/chemicalenergy/bachelor-of-chemical-gas-2/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Petroleum Engineering with Honours,Universiti Teknologi Malaysia,12400,"Petroleum engineering involves a wide range of activities related to field exploration, development, production and abandonment of oil and gas resources. Petroleum engineering Programme covers formation evaluation, reservoir engineering, drilling engineering, well completion, well treatment and diagnosis, and production engineering. Besides that, the Programme requires a good knowledge of other related disciplines, namely geophysics, petroleum geology, petroleum project economics and management, engineering safety, etc.",4,http://engineering.utm.my/chemicalenergy/bachelor-of-petroleum-eng/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Civil Engineering with Honours,Universiti Teknologi Malaysia,12400," The Bachelor of Engineering (Civil) is offered either on a full-time or part-time basis. The full-time programme is the main programme, offered by the School of Civil Engineering while the part-time programme is offered by the School of Professional and Continuing Education (SPACE). The full-time programme is offered only at the UTM Main Campus in Skudai while the part-time programme is offered at various centres throughout Malaysia. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years. Further information on the part-time programme is available at http://web.utm.my/space.",4,https://engineering.utm.my/civil/bachelor-of-civil-engineering/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Computer Science (Software Engineering) with Honours,Universiti Teknologi Malaysia,11960," 
 
PROGRAMME SPECIFICATIONS
The Bachelor of Computer Science (Software Engineering) is offered on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.
 
General Information
1.   Awarding Institution
Universiti Teknologi Malaysia
2.   Teaching Institution
Universiti Teknologi Malaysia
3.   Programme Name
Bachelor of Computer Science (Software Engineering)
4.   Final Award
Bachelor of Computer Science (Software Engineering)
5.   Programme Code
TC10 (SECJ)
6.   Professional or Statutory Body of Accreditation
Ministry of Higher Education
7.    Language(s) of Instruction
English
8.   Mode of Study (Conventional, distance learning, etc)
Conventional
9.   Mode of operation (Franchise, self-govern, etc)
Self-governing
10. Study Scheme (Full Time/Part Time)
Full Time
11. Study Duration

Minimum :   4 yrs (8 semesters)
Maximum  : 6 yrs (12 Semesters)

Type of Semester
No. of Semesters
No of Weeks/Semester
Full Time
Part Time
Full Time
Part Time
Normal
8
20
14
14
Short
–
–
–
–
 

					Course Classification
					No.
Classification
Credit Hours
Credit Hours

i


University Courses
a. General
b. Language
c. Co-Curriculum
d. IT Entrepreneurship


–
10
8
3
2


17.6%


ii


Core Courses

74
56.5%

iii


Elective Courses

34
25.9%
 

Total

131
100%
A

University Courses
(a) Lecture/Project/Laboratory
(b) Workshop/Field/Design Studio
(c) Industrial Training
(d) Final Year Project

Nil
Nil
Total Credit Hours for Part A
 
 
B

Related Courses
(a) Applied Science/ Mathematic/Computer
(b) Management/Law/Humanities/Ethics/Economy
(c) Language
(d) Co-Curriculum

Nil
Nil
Total Credit Hours for Part B
 
Total Credit Hours for Part A and B
Nil
 
Total Hours To Graduate
131 Credit Hours
 

				

					Entry Requirements
					
The minimum qualifications for candidates who intend to do a Bachelor of Computer Science (Software Engineering) are as follows:
Minimum results based on the Malaysian High School Certificate (STPM) (results would be based on the general requirements as well as other conditions as the pre-requisites for the programme set by the university).
University General Requirements:


Passed and obtained good results in the Malaysian Certificate Examination (SPM) or its equivalent.
Passed Bahasa Melayu/Bahasa Malaysia with credit in the SPM/equivalent.
Passed the Malaysian High School Certificate (STPM) or its equivalent and obtained the following:
Grade C (NGMP 2.00) General paper, and
Grade C (NGMP 2.00) in TWO (2) other subjects

Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a minimum Grade B- (NGMP 2.67) in TWO (2) of the following subjects:
Mathematics T / Further Mathematics / Computing AND
Physics/ Chemistry/ Biology

Passed Mathematics with credits in the SPM / equivalent examination.

Minimum requirements for Matriculation Certificates (KPM) / Asasi Sains UM (fulfil the general requirements set by the university as well as other conditions of the programme).
General University Requirements:


Passed the Malaysian Certificate Examination (SPM) with good results.
Obtained passes in Bahasa Melayu/Bahasa Malaysia with credits in the SPM/equivalent examination.
Passed the Matriculation Certificate Examination KPM/Asasi Sains UM with a minimum CGPA of 2.80 and passed all the core subjects.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a Grade B- (2.67) in two of the following subjects:
Mathematics AND
Physics/ Engineering Physics / Biology/ Chemistry / Engineering Chemistry / Computer Science / Computer Engineering

Passed with credits in Mathematics in the SPM/ equivalent examination.

Minimum qualifications for students with Certificates/Diplomas (fulfill the general requirements set by the university as well as specific requirements of the programme).
General University Requirements:


Obtained a Diploma in Computer Science from UTM/equivalent with a minimum CPA of 3.00; or for candidates with a CPA below 3.00 but have a minimum of two or more years of working experience in the related area of study will be eligible to apply for a place to study at the university.
Obtained a credit pass in Mathematics in their SPM/equivalent examination or a minimum grade B- in any of the Mathematics Courses taken at the diploma level.
Candidates are required to submit the results transcript of all their examinations taken during their Diploma study (semester one until the final semester) to UTM. A copy of the diploma or a letter of completion of study will also have to be submitted together with their applications.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.


Note :-
Year of entry and duration of study will be based on the credit exemptions and credit transfer awarded by the university.
				
 
UTM PROFESSIONAL SKILLS CERTIFICATE (PSC)
Students are required to enroll and pass all certificate programmes offered by the Centres of Excellence in the University and the School of Professional and Continuing Education (SPACE) during semester breaks
 
How to Get Yourself Employed (HTGYE)2. ISO 9001: 2008 Quality Management System Requirement (ISO)3. Occupational Safety and Health Awareness (OSHA)4. How to Manage Your Personal Finance (HTMYPF)5. Test of English Communication Skills for Graduating Students (TECS):i.  TECS 1001 (Paper I – Oral Interaction)ii. TECS 1002 (Paper II – Writing)
 The Bachelor of Computer Science (Software Engineering) is offered on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.",4,https://engineering.utm.my/computing/secj/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Computer Science (Bioinformatics) with Honours,Universiti Teknologi Malaysia,11960," 
 
PROGRAMME SPECIFICATIONS
The Bachelor of Computer Science (Bioinformatics) is offered either on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.
General Information
1.   Awarding Institution
Universiti Teknologi Malaysia
2.   Teaching Institution
Universiti Teknologi Malaysia
3.   Programme Name
Bachelor of Computer Science (Bioinformatics)
4.   Final Award
Bachelor of Computer Science (Bioinformatics)
5.   Programme Code
TC24 (SESB)
6.   Professional or Statutory Body of Accreditation
Ministry of Higher Education
7.    Language(s) of Instruction
English
8.   Mode of Study (Conventional, distance learning, etc)
Conventional
9.   Mode of operation (Franchise, self-govern, etc)
Self-governing
10. Study Scheme (Full Time/Part Time)
Full Time
11. Study Duration

Minimum :   4 yrs (8 semesters)
Maximum  : 6 yrs (12 Semesters)

Type of Semester
No. of Semesters
No of Weeks/Semester
Full Time
Part Time
Full Time
Part Time
Normal
8
20
8
14
Short
–
–
–
–

					Course Classification
					No.
Classification
Credit Hours
Credit Hours

i


University Courses
a. General
b. Language
c. Co-Curriculum
d. IT Entrepreneurship


–
10
8
3
2


17.6%


ii


Core Courses

74
56.4%

iii


Elective Courses

34
26%
 

Total

131
100%
A

University Courses
(a) Lecture/Project/Laboratory
(b) Workshop/Field/Design Studio
(c) Industrial Training
(d) Final Year Project

Nil
Nil
Total Credit Hours for Part A
 
 
B

Related Courses
(a) Applied Science/ Mathematic/Computer
(b) Management/Law/Humanities/Ethics/Economy
(c) Language
(d) Co-Curriculum

Nil
Nil
Total Credit Hours for Part B
 
Total Credit Hours for Part A and B
Nil
 
Total Hours To Graduate
131 Credit Hours
 

				

					Entry Requirements
					
The minimum qualifications for candidates who intend to do a Bachelor of Computer Science (Bioinformatics) are as follows:
Minimum results based on the Malaysian High School Certificate (STPM) (results would be based on the general requirements as well as other conditions as the pre-requisites for the programme set by the university).
University General Requirements:


Passed and obtained good results in the Malaysian Certificate Examination (SPM) or its equivalent.
Passed Bahasa Melayu/Bahasa Malaysia with credit in the SPM/equivalent.
Passed the Malaysian High School Certificate (STPM) or its equivalent and obtained the following:
Grade C (NGMP 2.00) General paper, and
Grade C (NGMP 2.00) in TWO (2) other subjects

Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a minimum Grade B- (NGMP 2.67) in TWO (2) of the following subjects:
Mathematics T / Further Mathematics / Computing AND
Physics/ Chemistry/ Biology

Passed Mathematics with credits in the SPM / equivalent examination.

Minimum requirements for Matriculation Certificates (KPM) / Asasi Sains UM (fulfil the general requirements set by the university as well as other conditions of the programme).
General University Requirements:


Passed the Malaysian Certificate Examination (SPM) with good results.
Obtained passes in Bahasa Melayu/Bahasa Malaysia with credits in the SPM/equivalent examination.
Passed the Matriculation Certificate Examination KPM/Asasi Sains UM with a minimum CGPA of 2.80 and passed all the core subjects.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a Grade B- (2.67) in two of the following subjects:
Mathematics AND
Physics/ Engineering Physics / Biology/ Chemistry / Engineering Chemistry / Computer Science / Computer Engineering

Passed with credits in Mathematics in the SPM/ equivalent examination.

Minimum qualifications for students with Certificates/Diplomas (fulfill the general requirements set by the university as well as specific requirements of the programme).
General University Requirements:


Obtained a Diploma in Computer Science from UTM/equivalent with a minimum CPA of 3.00; or for candidates with a CPA below 3.00 but have a minimum of two or more years of working experience in the related area of study will be eligible to apply for a place to study at the university.
Obtained a credit pass in Mathematics in their SPM/equivalent examination or a minimum grade B- in any of the Mathematics Courses taken at the diploma level.
Candidates are required to submit the results transcript of all their examinations taken during their Diploma study (semester one until the final semester) to UTM. A copy of the diploma or a letter of completion of study will also have to be submitted together with their applications.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.


Note :-
Year of entry and duration of study will be based on the credit exemptions and credit transfer awarded by the university.
				
 
UTM PROFESSIONAL SKILLS CERTIFICATE (PSC)
Students are required to enrol and pass all certificate programmes offered by the Centres of Excellence in the University and the School of Professional and Continuing Education (SPACE) during semester breaks
 
How to Get Yourself Employed (HTGYE)2. ISO 9001: 2008 Quality Management System Requirement (ISO)3. Occupational Safety and Health Awareness (OSHA)4. How to Manage Your Personal Finance (HTMYPF)5. Test of English Communication Skills for Graduating Students (TECS):i.  TECS 1001 (Paper I – Oral Interaction)ii. TECS 1002 (Paper II – Writing)
 The Bachelor of Computer Science (Bioinformatics) is offered either on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.",4,https://engineering.utm.my/computing/secb/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
Bachelor of Computer Science (Computer Networks and Security) with Honours,Universiti Teknologi Malaysia,11960," 
 
PROGRAMME SPECIFICATIONS
The Bachelor of Computer Science (Computer Networks & Security) is offered either on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.
General Information
1.   Awarding Institution
Universiti Teknologi Malaysia
2.   Teaching Institution
Universiti Teknologi Malaysia
3.   Programme Name
Bachelor of Computer Science (Computer Networks & Security)
4.   Final Award
Bachelor of Computer Science (Computer Networks & Security)
5.   Programme Code
TC27 (SECR)
6.   Professional or Statutory Body of Accreditation
Ministry of Higher Education
7.    Language(s) of Instruction
English
8.   Mode of Study (Conventional, distance learning, etc)
Conventional
9.   Mode of operation (Franchise, self-govern, etc)
Self-governing
10. Study Scheme (Full Time/Part Time)
Full Time
11. Study Duration

Minimum :   4 yrs (8 semesters)
Maximum  : 6 yrs (12 Semesters)

Type of Semester
No. of Semesters
No of Weeks/Semester
Full Time
Part Time
Full Time
Part Time
Normal
8
20
14
14
Short
–
–
–
–

					Course Classification
					No.
Classification
Credit Hours
Credit Hours

i


University Courses
a. General
b. Language
c. Co-Curriculum
d. IT Entrepreneurship


–
10
8
3
2


17.6%


ii


Core Courses

74
56.5%

iii


Elective Courses

34
25.9%
 

Total

131
100%
A

University Courses
(a) Lecture/Project/Laboratory
(b) Workshop/Field/Design Studio
(c) Industrial Training
(d) Final Year Project

Nil
Nil
Total Credit Hours for Part A
 
 
B

Related Courses
(a) Applied Science/ Mathematic/Computer
(b) Management/Law/Humanities/Ethics/Economy
(c) Language
(d) Co-Curriculum

Nil
Nil
Total Credit Hours for Part B
 
Total Credit Hours for Part A and B
Nil
 
Total Hours To Graduate
131 Credit Hours
 

				

					Entry Requirements
					
The minimum qualifications for candidates who intend to do a Bachelor of Computer Science (Computer Networks & Security) are as follows:
Minimum results based on the Malaysian High School Certificate (STPM) (results would be based on the general requirements as well as other conditions as the pre-requisites for the programme set by the university).
University General Requirements:


Passed and obtained good results in the Malaysian Certificate Examination (SPM) or its equivalent.
Passed Bahasa Melayu/Bahasa Malaysia with credit in the SPM/equivalent.
Passed the Malaysian High School Certificate (STPM) or its equivalent and obtained the following:
Grade C (NGMP 2.00) General paper, and
Grade C (NGMP 2.00) in TWO (2) other subjects

Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a minimum Grade B- (NGMP 2.67) in TWO (2) of the following subjects:
Mathematics T / Further Mathematics / Computing AND
Physics/ Chemistry/ Biology

Passed Mathematics with credits in the SPM / equivalent examination.

Minimum requirements for Matriculation Certificates (KPM) / Asasi Sains UM (fulfil the general requirements set by the university as well as other conditions of the programme).
General University Requirements:


Passed the Malaysian Certificate Examination (SPM) with good results.
Obtained passes in Bahasa Melayu/Bahasa Malaysia with credits in the SPM/equivalent examination.
Passed the Matriculation Certificate Examination KPM/Asasi Sains UM with a minimum CGPA of 2.80 and passed all the core subjects.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.
Special Requirements for the Programme


Passed with a Grade B- (2.67) in two of the following subjects:
Mathematics AND
Physics/ Engineering Physics / Biology/ Chemistry / Engineering Chemistry / Computer Science / Computer Engineering

Passed with credits in Mathematics in the SPM/ equivalent examination.

Minimum qualifications for students with Certificates/Diplomas (fulfill the general requirements set by the university as well as specific requirements of the programme).
General University Requirements:


Obtained a Diploma in Computer Science from UTM/equivalent with a minimum CPA of 3.00; or for candidates with a CPA below 3.00 but have a minimum of two or more years of working experience in the related area of study will be eligible to apply for a place to study at the university.
Obtained a credit pass in Mathematics in their SPM/equivalent examination or a minimum grade B- in any of the Mathematics Courses taken at the diploma level.
Candidates are required to submit the results transcript of all their examinations taken during their Diploma study (semester one until the final semester) to UTM. A copy of the diploma or a letter of completion of study will also have to be submitted together with their applications.
Passed the Malaysian University English Test (MUET) with minimum result of Band 1.


Note :-
Year of entry and duration of study will be based on the credit exemptions and credit transfer awarded by the university.
				
 
UTM PROFESSIONAL SKILLS CERTIFICATE (PSC)
Students are required to enroll and pass all certificate programmes offered by the Centres of Excellence in the University and the School of Professional and Continuing Education (SPACE) during semester breaks
 
How to Get Yourself Employed (HTGYE)2. ISO 9001: 2008 Quality Management System Requirement (ISO)3. Occupational Safety and Health Awareness (OSHA)4. How to Manage Your Personal Finance (HTMYPF)5. Test of English Communication Skills for Graduating Students (TECS):i.  TECS 1001 (Paper I – Oral Interaction)ii. TECS 1002 (Paper II – Writing)
 The Bachelor of Computer Science (Computer Networks & Security) is offered either on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.",4,https://engineering.utm.my/computing/secr/,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.","Phone : +6 07-553 3333
Email : corporate@utm.my
https://www.utm.my/"
