,course_name,info,course_link,address,contact,duration,fee (per sem)
1,Bachelor of Education with Honours (Accounting),,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-education-with-honours-accounting.html,"School of EducationUniversiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5381 Fax: +604-928 5382,-,RM1419++ per semester
2,Bachelor of Education with Honours (Business Management) *,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-education-with-honours-business-management.html,"School of EducationUniversiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5381 Fax: +604-928 5382,-,RM1419++ per semester
3,Bachelor of Education with Honours (Guidance and Counselling) *,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-education-with-honours-guidance-and-counselling.html,"School of EducationUniversiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5381 Fax: +604-928 5382,-,RM1419++ per semester
4,Bachelor of Education with Honours (Information Technology) *,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-education-with-honours-information-technology.html,"School of EducationUniversiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5381 Fax: +604-928 5382,-,RM1419++ per semester
5,Bachelor of Education with Honours (Moral Education) *,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-education-with-honours-moral-education.html,"School of EducationUniversiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5381 Fax: +604-928 5382,-,RM1419++ per semester
6,Bachelor of Communication with Honours,Bachelor of Communication (Hons.) is one of the academic programmes offered to undergraduate students under the School of Multimedia Technology and Communication (SMMTC). It has 129 credit hours for students to fulfill during the academic session.,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-communication-with-honours.html,"School of Multimedia Technology & CommunicationCollege of Arts & Sciences,Universiti Utara Malaysia,06010 UUM Sintok,Kedah Darul Aman, MALAYSIA. ",Tel: +604-928 5800/5801/5802/5803Fax: +604-928 5804,7 semester ,RM1529++ per semester
7,Bachelor of Media Technology with Honours,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-media-technology-with-honours.html,"School of Multimedia Technology & CommunicationCollege of Arts & Sciences,Universiti Utara Malaysia,06010 UUM Sintok,Kedah Darul Aman, MALAYSIA. ",Tel: +604-928 5800/5801/5802/5803Fax: +604-928 5804,7 semester,RM1529++ per semester
8,Bachelor of Science with Honours (Multimedia),,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-science-with-honours-multimedia.html,"School of Multimedia Technology & CommunicationCollege of Arts & Sciences,Universiti Utara Malaysia,06010 UUM Sintok,Kedah Darul Aman, MALAYSIA. ",Tel: +604-928 5800/5801/5802/5803Fax: +604-928 5804,7 semester,RM1529++ per semester
9,Bachelor of Creative Industry Management with Honours,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-creative-industry-management-with-honours.html,"School of Creative Industry Management & Performing ArtsCollege of Arts & Sciences,Universiti Utara Malaysia,06010 UUM Sintok,Kedah Darul Aman, MALAYSIA. ",Tel: +604-928 6453Fax: +604-928 5804,-,RM1419++ per semester
10,Bachelor of Computer Science with Honours,,http://www.uum.edu.my/admissions-uum/undergraduate/local/bachelor-of-computer-science-with-honours.html,"School of ComputingUUM College Arts & Sciences,Universiti Utara Malaysia,06010 UUM Sintok, Kedah Darul Aman, MALAYSIA.",Tel: +604-928 5001Fax: +604-928 5067,8 semester,RM1529++ per semester
