uni_name,Faculty,Number of courses
Universiti Utara Malaysia (UUM),Islamic Business School,2
Universiti Utara Malaysia (UUM),School of Business Management ,5
Universiti Utara Malaysia (UUM),School of Creative Industry Management & Performing Arts,1
Universiti Utara Malaysia (UUM),School of Education,5
Universiti Utara Malaysia (UUM),School of International Studies,2
Universiti Utara Malaysia (UUM),School of Law,2
Universiti Utara Malaysia (UUM),School of Quantitative Sciences,3
Universiti Utara Malaysia (UUM),School of Technology Management & Logistics,3
Universiti Utara Malaysia (UUM),UUM National Golf Academy,1
Universiti Utara Malaysia (UUM),"School of Applied Psychology, Social Work & Policy",2
Universiti Utara Malaysia (UUM),School of Computing,2
Universiti Utara Malaysia (UUM),"School of Economics, Finance & Banking",5
Universiti Utara Malaysia (UUM),School of Government,2
Universiti Utara Malaysia (UUM),"School of Languages, Civilisation & Philosophy",4
Universiti Utara Malaysia (UUM),School of Multimedia Technology & Communication,3
Universiti Utara Malaysia (UUM),"School of Tourism, Hospitality & Event Management",3
Universiti Utara Malaysia (UUM),Tunku Puteri Intan Safinaz School of Accountancy,2
