,course,Link,Introduction,Address,Contact,Duration,Fee,uni_name,Fac_link
1,BACHELOR OF ACCOUNTING #,https://fpe.um.edu.my/bachelor-of-accounting-bacc,"UM’s Bachelor of Accounting programme is recognized both nationally and internationally. The programme is recognised under Schedule 1 Accountants Act 1967. Graduates of this programme are eligible to register as members of the Malaysian Institute of Accountants (MIA), subject to three years practical accounting experience, as stipulated in Part IV of the Accountants Act 1967.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3800<br/>Fax: +603-7967 3980<br/>Email: umfba@um.edu.my,4,17900,Universiti Malaya (UM),https://fpe.um.edu.my/
2,BACHELOR OF ACTUARIAL SCIENCE,https://fs.um.edu.my/bachelor-of-science-actuarial,"Bachelor of Actuarial Science in Universiti Malaya is a four years program design to prepare both, the industrial demand as well as the professional expert in the actuarial field. The program covers a wide range of areas including economics, finance, mathematics, statistics and risk modelling. The program also prepares the students with tools to kick start research that is inevitable in current world for the benefit of the wide society.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603 - 7967 4200<br/>Fax: +603- 7956 6343<br/>Email : science@um.edu.my,4,9800,Universiti Malaya (UM),https://fs.um.edu.my/
3,BACHELOR OF AL-QURAN AND AL-HADITH,https://apium.um.edu.my/bachelor-of-al-quran-and-al-hadith,To advance the field of study of Al-Quran and Al-Hadith based on the tradition of Islamic knowledge and modern scientific methods through quality education for the nation and humanity.,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 6000<br/>Fax: +603-7956 0705<br/>Email: aka_islam@um.edu.my,4,12400,Universiti Malaya (UM),https://apium.um.edu.my/
4,BACHELOR OF ARABIC LANGUAGE AND LINGUISTICS,https://fll.um.edu.my/bachelor-of-arabic-language-and-linguistics,Students are awarded the Bachelor of Arabic Languages and Linguistics upon completion of a total of 126 credits of study.,"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 3177<br/>Fax: +603-7957 9707<br/>Email: dekan_fbl@um.edu.my,4,8000,Universiti Malaya (UM),https://fll.um.edu.my/
5,BACHELOR OF ARTS ANTHROPOLOGY AND SOCIOLOGY,https://fass.um.edu.my/bachelor-of-arts-anthropology-and-sociology,"The study of anthropology and sociology basically entails an in-depth study of human cultures and societies, their history and what’s currently going on, by comparing cultures and society to one another. Students of this programme will delve further into the depth and width of cultures and societies of the world by analyzing and understanding the social structures, institutions and values that make us who we are.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7700,Universiti Malaya (UM),https://fass.um.edu.my/
6,BACHELOR OF ARTS CHINESE STUDIES,https://fass.um.edu.my/bachelor-of-arts-chinese-studies,"This programme introduces students to the various aspects of the Chinese community – its language, rich culture, writing, literature and the history of China. The programme offers an expansive view into Chinese Studies by emphasising two main areas, the language and literature as well as the socio-culture.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,10500,Universiti Malaya (UM),https://fass.um.edu.my/
7,BACHELOR OF ARTS ENGLISH,https://fass.um.edu.my/bachelor-of-arts-english,"The programme is comparable to those offered in universities in the United Kingdom and the United States of America. Canonical literatures in English that cover the whole period of development of English Literature, from the Medieval to the Modern, form the foundation for the Bachelor of Arts (English) programme. Due emphasis is also given to literature in English from other parts of the world such as Africa, India, Australia and the USA. The department also offers courses reflective of current interdisciplinary developments in English Literature, such as ‘Popular Culture and Literature’, ‘Literature through Language’, and ‘Global Shakespeares’.
Teaching is conducted mainly in the form of lectures and tutorials, with an emphasis on interactive learning to encourage students to stretch their abilities. Most courses adopt a 60:40 ratio in assessment, with 60% based on continuous coursework assessment and 40% from final examinations. Some courses are assessed entirely from coursework. ","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7900,Universiti Malaya (UM),https://fass.um.edu.my/
8,BACHELOR OF ARTS HISTORY,https://fass.um.edu.my/bachelor-of-arts-history,"Department of History has developed three core areas that provide ample opportunities for students majoring in history to choose a variety of introductory and advanced courses specializing in the history of Malaysia, Southeast Asian History and Global History. Courses  offered not only reflect the expertise in teaching and academic research in the department but the main objective of this diversity is to produce graduates with holistic and ready to face the working environment.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7700,Universiti Malaya (UM),https://fass.um.edu.my/
9,BACHELOR OF ARTS INDIAN STUDIES,https://fass.um.edu.my/bachelor-of-arts-indian-studies,"The programme aims to introduce the linguistics, literature, religious and socio-cultural heritage of the Indian community in an academic manner that will benefit the nation as a whole. It also targets to showcase the historical, socio-political and economic aspects of the Indian community in Malaysia.
The student will cover subjects ranging from Tamil grammar and literature to the in-depth probe into the Indian culture and civilization. The programme hopes to expose the students to the finer elements of Indian culture and values. Besides that, students can also discover Indian Philosophy and ethics that will undoubtedly equip them to fully understand the Indian community thus enabling them to function well within the society.","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7900,Universiti Malaya (UM),https://fass.um.edu.my/
10,BACHELOR OF ARTS INTERNATIONAL AND STRATEGIC STUDIES,https://fass.um.edu.my/bachelor-of-arts-international-and-strategic-studies,"The programme’s objective are to equip the students with the knowledge of international relations, foreign policy, security studies, defence analysis and strategic studies, particularly by examining international interactions between state and non-state actors, as well as the emerging trends and long-term effects of both global and regional issues. ","Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Tel: +603-7967 5500<br/>Fax: +603-7967 5707<br/>Email: sastera@um.edu.my,4,7700,Universiti Malaya (UM),https://fass.um.edu.my/
